City,Label,Month,Year,Date,Day of Week,Area,SQKM,Count_000,Count_010,Count_015
Alchevsk,apr_2021_25,4,2021,4/25/2021 8:33,6,0.001825256,14.52729606,7528,885,408
Alchevsk,apr_2022_27,4,2022,4/27/2022 8:23,2,0.015232378,118.8415045,100874,9828,2944
Alchevsk,aug_2019_24,8,2019,8/24/2019 8:22,5,0.018146903,139.2116062,20937,1991,831
Alchevsk,aug_2020_23,8,2020,8/23/2020 8:31,6,0.000767016,6.056077517,10485,1070,122
Alchevsk,aug_2021_07,8,2021,8/7/2021 8:28,5,0.017317813,131.9780252,38184,6133,3137
Alchevsk,aug_2021_09,8,2021,8/9/2021 8:42,0,0.007148122,56.16891518,26828,2793,1102
Alchevsk,aug_2021_25,8,2021,8/25/2021 8:53,2,0.003297457,26.08595062,3024,254,148
Alchevsk,dec_2019_02,12,2019,12/2/2019 8:39,0,0.016528253,127.5652283,3399,303,92
Alchevsk,dec_2019_16,12,2019,12/16/2019 8:24,0,0.018817478,143.2770685,6103,303,62
Alchevsk,dec_2021_20,12,2021,12/20/2021 8:42,0,0.018668104,142.7408636,11342,671,141
Alchevsk,dec_2021_22,12,2021,12/22/2021 8:02,2,0.010521569,80.5834194,9117,249,44
Alchevsk,feb_2020_10,2,2020,2/10/2020 8:50,0,0.014618923,116.4903212,57348,5269,1307
Alchevsk,feb_2021_23,2,2021,2/23/2021 8:28,1,0.006998778,55.44427587,18399,2481,912
Alchevsk,feb_2022_13,2,2022,2/13/2022 8:37,6,0.000674926,5.367258178,11819,2257,408
Alchevsk,jan_2022_08,1,2022,1/8/2022 8:43,5,0.013371279,103.9293343,46590,6287,1143
Alchevsk,jan_2022_21,1,2022,1/21/2022 8:24,4,0.005534727,43.82129062,7520,282,19
Alchevsk,jul_2019_03,7,2019,7/3/2019 8:37,2,0.008032116,63.28444799,20347,2536,1441
Alchevsk,jul_2019_28,7,2019,7/28/2019 8:53,6,0.011838998,91.12329846,34762,3327,1632
Alchevsk,jul_2019_29,7,2019,7/29/2019 8:40,0,0.000656345,5.218070317,4172,237,43
Alchevsk,jul_2020_26,7,2020,7/26/2020 8:11,6,0.01790232,137.389359,19640,2732,1044
Alchevsk,jul_2021_02,7,2021,7/2/2021 8:42,4,0.002546804,19.98269604,5490,422,107
Alchevsk,jul_2021_10,7,2021,7/10/2021 8:48,5,0.003971231,30.88270381,7139,1589,1027
Alchevsk,jul_2021_12,7,2021,7/12/2021 8:24,0,0.012993645,102.217667,53412,8050,4651
Alchevsk,jul_2021_27,7,2021,7/27/2021 8:27,1,0.008589777,68.42676578,26618,2191,796
Alchevsk,jun_2021_27,6,2021,6/27/2021 8:26,6,0.008211033,64.74711425,10534,566,102
Alchevsk,jun_2021_30,6,2021,6/30/2021 8:41,2,0.00669431,53.05568244,19410,2885,1208
Alchevsk,mar_2019_05,3,2019,3/5/2019 8:53,1,0.006908367,54.01805456,31838,2131,144
Alchevsk,mar_2019_14,3,2019,3/14/2019 9:01,3,0.016373708,126.3661619,15434,1175,355
Alchevsk,may_2019_29,5,2019,5/29/2019 8:27,2,0.018817478,143.2771661,27745,3891,1358
Alchevsk,may_2021_29,5,2021,5/29/2021 8:25,5,0.007515522,59.51139759,180029,23711,4071
Alchevsk,may_2021_31,5,2021,5/31/2021 8:21,0,0.007008187,55.53812982,8651,1581,927
Alchevsk,may_2022_06,5,2022,5/6/2022 8:22,4,0.016888847,130.3128263,182745,19156,7141
Alchevsk,nov_2021_07,11,2021,11/7/2021 8:26,6,0.015287336,118.1298731,31384,3173,1206
Alchevsk,nov_2021_18,11,2021,11/18/2021 8:21,3,0.004741924,37.72567803,1351,117,28
Alchevsk,oct_2019_09,10,2019,10/9/2019 8:19,2,0.00865802,67.22795098,43975,3567,979
Alchevsk,oct_2020_15,10,2020,10/15/2020 8:26,3,0.001328357,10.29148111,2825,221,33
Alchevsk,oct_2020_20,10,2020,10/20/2020 8:44,1,0.007382596,58.00489289,20734,2808,1264
Alchevsk,oct_2021_21,10,2021,10/21/2021 8:53,3,0.000768827,5.919195986,2297,216,45
Alchevsk,sep_2019_12,9,2019,9/12/2019 8:55,3,0.018817478,143.2770739,75302,7095,3360
Alchevsk,sep_2020_20,9,2020,9/20/2020 8:48,6,0.011292847,90.64559436,68937,6577,914
Alchevsk,sep_2020_24,9,2020,9/24/2020 8:46,3,0.001818489,14.5136971,5517,453,71
Alchevsk,sep_2021_08,9,2021,9/8/2021 8:42,2,0.00520694,41.03708117,19873,2213,1217
Berdychiv,feb_2019_21,2,2019,2/21/2019 9:35,3,0.007794695,58.47791403,13087,1783,647
Berehove,apr_2020_20,4,2020,4/20/2020 9:25,0,0.019384286,150.2921422,25826,1405,354
Berehove,jan_2022_09,1,2022,1/9/2022 9:46,6,0.022278124,170.4729041,17055,517,57
Berehove,jul_2021_17,7,2021,7/17/2021 9:40,5,0.014125241,112.5705458,11046,1406,790
Berehove,jul_2021_18,7,2021,7/18/2021 9:38,6,0.011073847,87.25163262,19270,2360,1296
Berehove,jul_2021_22,7,2021,7/22/2021 9:46,3,0.000497492,3.977197612,1615,95,25
Berehove,jun_2019_10,6,2019,6/10/2019 9:25,0,0.013751299,105.9274544,20015,1497,510
Berehove,mar_2022_03,3,2022,3/3/2022 9:57,3,0.021314313,165.7562063,2578,23,1
Berehove,mar_2022_27,3,2022,3/27/2022 9:33,6,0.017377508,136.442037,24611,3132,1593
Berehove,may_2021_21,5,2021,5/21/2021 9:22,4,0.004379726,34.95766183,12931,773,177
Berehove,may_2021_24,5,2021,5/24/2021 9:19,0,0.004195722,33.17732756,4050,412,140
Berehove,may_2022_03,5,2022,5/3/2022 9:51,1,0.000742848,5.981492377,1157,100,43
Berehove,may_2022_12,5,2022,5/12/2022 9:54,3,0.009967644,79.82373407,11472,1690,561
Berehove,may_2022_14,5,2022,5/14/2022 9:46,5,0.017720583,142.8004856,21198,1687,610
Bila_Tserkva,apr_2019_03,4,2019,4/3/2019 9:27,2,0.013151842,97.35937291,33007,9910,5538
